clave_entidad,Semaforo_alto_impacto,Percepcion_inseguridad,año
1,0,0,2022
2,1,0,2022
3,0,0,2022
4,0,0,2022
5,0,0,2022
6,1,1,2022
7,0,0,2022
8,1,0,2022
9,0,1,2022
10,0,0,2022
11,0,1,2022
12,0,0,2022
13,0,0,2022
14,0,1,2022
15,1,1,2022
16,0,1,2022
17,1,1,2022
18,0,0,2022
19,1,0,2022
20,0,0,2022
21,0,1,2022
22,0,0,2022
23,0,1,2022
24,0,0,2022
25,0,0,2022
26,0,1,2022
27,0,1,2022
28,0,1,2022
29,0,0,2022
30,1,1,2022
31,0,0,2022
32,1,1,2022
1,0,0,2021
2,1,0,2021
3,0,0,2021
4,0,0,2021
5,0,0,2021
6,1,0,2021
7,0,0,2021
8,1,0,2021
9,0,1,2021
10,0,0,2021
11,1,1,2021
12,0,1,2021
13,0,0,2021
14,0,1,2021
15,1,1,2021
16,1,1,2021
17,1,1,2021
18,0,0,2021
19,0,0,2021
20,0,0,2021
21,0,1,2021
22,0,0,2021
23,1,1,2021
24,0,1,2021
25,0,0,2021
26,1,0,2021
27,0,1,2021
28,0,1,2021
29,0,0,2021
30,0,1,2021
31,0,0,2021
32,1,1,2021
1,1,0,2020
2,1,0,2020
3,0,0,2020
4,0,0,2020
5,0,0,2020
6,1,0,2020
7,0,0,2020
8,1,0,2020
9,0,1,2020
10,0,0,2020
11,1,1,2020
12,0,1,2020
13,0,0,2020
14,0,1,2020
15,1,1,2020
16,1,1,2020
17,1,1,2020
18,0,0,2020
19,0,0,2020
20,0,0,2020
21,0,1,2020
22,0,0,2020
23,1,1,2020
24,0,1,2020
25,0,0,2020
26,1,0,2020
27,0,1,2020
28,0,1,2020
29,0,0,2020
30,0,1,2020
31,0,0,2020
32,1,1,2020
1,1,0,2019
2,1,0,2019
3,0,0,2019
4,0,0,2019
5,0,0,2019
6,1,0,2019
7,0,0,2019
8,1,1,2019
9,1,1,2019
10,0,0,2019
11,1,1,2019
12,0,1,2019
13,0,0,2019
14,1,0,2019
15,1,1,2019
16,0,1,2019
17,1,1,2019
18,0,0,2019
19,0,1,2019
20,0,0,2019
21,0,1,2019
22,0,0,2019
23,1,1,2019
24,0,0,2019
25,0,0,2019
26,0,0,2019
27,1,1,2019
28,0,1,2019
29,0,0,2019
30,0,1,2019
31,0,0,2019
32,1,1,2019
1,1,0,2018
2,1,0,2018
3,1,0,2018
4,0,0,2018
5,0,0,2018
6,1,1,2018
7,0,0,2018
8,0,1,2018
9,0,1,2018
10,0,0,2018
11,1,1,2018
12,1,1,2018
13,1,0,2018
14,1,0,2018
15,1,1,2018
16,1,1,2018
17,1,1,2018
18,1,1,2018
19,0,0,2018
20,0,0,2018
21,0,1,2018
22,0,0,2018
23,0,0,2018
24,0,1,2018
25,1,0,2018
26,0,0,2018
27,1,1,2018
28,1,1,2018
29,0,0,2018
30,1,1,2018
31,0,0,2018
32,1,1,2018
1,1,0,2017
2,1,0,2017
3,1,0,2017
4,0,0,2017
5,0,0,2017
6,1,1,2017
7,0,0,2017
8,1,0,2017
9,0,1,2017
10,0,0,2017
11,0,1,2017
12,1,1,2017
13,0,0,2017
14,0,0,2017
15,1,1,2017
16,1,1,2017
17,1,1,2017
18,1,0,2017
19,0,0,2017
20,0,0,2017
21,0,0,2017
22,0,0,2017
23,1,0,2017
24,0,0,2017
25,1,1,2017
26,0,0,2017
27,1,1,2017
28,1,1,2017
29,0,0,2017
30,1,1,2017
31,0,0,2017
32,1,1,2017
1,1,0,2016
2,1,0,2016
3,1,0,2016
4,0,0,2016
5,0,0,2016
6,1,0,2016
7,0,0,2016
8,0,0,2016
9,0,1,2016
10,0,0,2016
11,0,0,2016
12,1,1,2016
13,0,0,2016
14,0,0,2016
15,1,1,2016
16,0,0,2016
17,1,1,2016
18,0,0,2016
19,0,1,2016
20,0,1,2016
21,0,0,2016
22,0,0,2016
23,0,0,2016
24,0,0,2016
25,1,0,2016
26,1,0,2016
27,1,1,2016
28,1,1,2016
29,0,0,2016
30,0,1,2016
31,0,0,2016
32,1,1,2016
1,0,0,2015
2,1,0,2015
3,0,0,2015
4,0,0,2015
5,1,1,2015
6,0,0,2015
7,0,0,2015
8,1,1,2015
9,1,1,2015
10,1,0,2015
11,0,0,2015
12,1,1,2015
13,0,0,2015
14,0,0,2015
15,1,1,2015
16,0,1,2015
17,1,1,2015
18,0,0,2015
19,1,0,2015
20,0,1,2015
21,0,0,2015
22,1,0,2015
23,1,0,2015
24,0,0,2015
25,1,0,2015
26,0,0,2015
27,1,1,2015
28,1,1,2015
29,0,0,2015
30,0,1,2015
31,0,0,2015
32,0,1,2015
